state_cd,2s,32,32,32,32,32,32,32
state_name,40s,Nevada,Nevada,Nevada,Nevada,Nevada,Nevada,Nevada
"Thermoelectric Power (Closed-loop cooling) total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,-,22.14,15.31,3.68,1.69
"Thermoelectric Power (Closed-loop cooling) total self-supplied withdrawals, fresh, in Mgal/d",16s,-,-,-,37.95,29.53,21.58,8.73
"Thermoelectric Power (Closed-loop cooling) total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,-,5.55,4.35,10.98,70.93
"Thermoelectric Power (Closed-loop cooling) total self-supplied withdrawals, total, in Mgal/d",16s,-,-,-,43.5,33.88,32.56,79.66
"Thermoelectric Power (Closed-loop cooling) deliveries from public supply, in Mgal/d",16s,-,-,-,-,-,-,0.49
"Thermoelectric Power (Closed-loop cooling) total self-supplied withdrawals plus deliveries, in Mgal/",16s,-,-,-,-,-,-,80.15
"Thermoelectric Power (Closed-loop cooling) consumptive use, fresh, in Mgal/d",16s,-,-,-,-,-,-,4.63
"Thermoelectric Power (Closed-loop cooling) consumptive use, saline, in Mgal/d",16s,-,-,-,-,-,-,27.46
"Thermoelectric Power (Closed-loop cooling) total consumptive use, in Mgal/d",16s,-,-,-,-,-,-,32.09
"Thermoelectric Power (Closed-loop cooling) power generated, in gigawatt-hours",16s,-,-,-,27576.75,21809.34,9988.3,11378.57
"Thermoelectric Power (Closed-loop cooling) reclaimed wastewater, in Mgal/d",16s,-,-,-,4.47,-,-,0.56
Thermoelectric Power (Closed-loop cooling) number of facilities,16s,-,-,-,16,-,-,21
"Mining self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,18.89,45.49,64.65,319.84,253.73,341.34,187.34
"Mining self-supplied groundwater withdrawals, saline, in Mgal/d",16s,2.76,11.6,11.46,12.23,3.51,0.95,11.28
"Mining total self-supplied withdrawals, groundwater, in Mgal/d",16s,21.65,57.09,76.11,332.07,257.24,342.29,198.62
"Mining self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,2.69,3.49,3.49,0,10.67,4.11,8.13
"Mining self-supplied surface-water withdrawals, saline, in Mgal/d",16s,0.04,0,0,0,0,0,0
"Mining total self-supplied withdrawals, surface water, in Mgal/d",16s,2.73,3.49,3.49,0,10.67,4.11,8.13
"Mining total self-supplied withdrawals, fresh, in Mgal/d",16s,21.58,48.98,68.14,319.84,264.4,345.45,195.47
"Mining total self-supplied withdrawals, saline, in Mgal/d",16s,2.8,11.6,11.46,12.23,3.51,0.95,11.28
"Mining total self-supplied withdrawals, in Mgal/d",16s,24.38,60.58,79.6,332.07,267.91,346.4,206.75
"Mining consumptive use, fresh, in Mgal/d",16s,18.17,48.98,68.14,-,-,-,-
"Mining consumptive use, saline, in Mgal/d",16s,1.89,11.6,11.45,-,-,-,-
"Mining total consumptive use, in Mgal/d",16s,20.06,60.58,79.59,-,-,-,-
"Mining reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,-,-
"Livestock self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,-,-,-,9.63,8.51,5.06,4.94
"Livestock self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,-,-,-,0,0,0,0
"Livestock total self-supplied withdrawals, fresh, in Mgal/d",16s,-,-,-,9.63,8.51,5.06,4.94
"Livestock consumptive use, fresh, in Mgal/d",16s,-,-,-,-,-,-,4.94
"Livestock (Stock) self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,5.89,0.99,0.99,-,-,-,-
"Livestock (Stock) self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Livestock (Stock) total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,0.99,-,-,-,-
"Livestock (Stock) self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,20.05,4.15,4.15,-,-,-,-
"Livestock (Stock) self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Livestock (Stock) total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,4.15,-,-,-,-
"Livestock (Stock) total self-supplied withdrawals, fresh, in Mgal/d",16s,25.94,5.14,5.14,-,-,-,-
"Livestock (Stock) total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Livestock (Stock) total self-supplied withdrawals, in Mgal/d",16s,-,-,5.14,-,-,-,-
"Livestock (Stock) consumptive use, fresh, in Mgal/d",16s,6.61,2.07,2.07,-,-,-,-
"Livestock (Stock) consumptive use, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Livestock (Stock) total consumptive use, in Mgal/d",16s,-,-,2.07,-,-,-,-
"Livestock (Animal Specialties) self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,-,0.01,0.01,-,-,-,-
"Livestock (Animal Specialties) self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Livestock (Animal Specialties) total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,0.01,-,-,-,-
"Livestock (Animal Specialties) self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,-,0.5,0.5,-,-,-,-
"Livestock (Animal Specialties) self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Livestock (Animal Specialties) total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,0.5,-,-,-,-
"Livestock (Animal Specialties) total self-supplied withdrawals, fresh, in Mgal/d",16s,-,0.51,0.51,-,-,-,-
"Livestock (Animal Specialties) total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Livestock (Animal Specialties) total self-supplied withdrawals, in Mgal/d",16s,-,-,0.51,-,-,-,-
"Livestock (Animal Specialties) consumptive use, fresh, in Mgal/d",16s,-,0,0,-,-,-,-
"Livestock (Animal Specialties) consumptive use, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Livestock (Animal Specialties) total consumptive use, in Mgal/d",16s,-,-,0,-,-,-,-
"Aquaculture self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,-,-,-,6.7,13.53,10.63,11.63
"Aquaculture self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,-,0,0,-,0
"Aquaculture total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,-,6.7,13.53,-,11.63
"Aquaculture self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,-,-,-,24.99,28.83,38.83,22.41
